Condition,Rater,Observation id,Subject,PND,Behavior,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Description
Single,Easton,105807_blue_M_08June2025,blue,2,LET GO,POINT,15.382,15.382,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,MOM INITIATION,POINT,19.653,19.653,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,GUIDANCE,STATE,21.989,42.009,20.02,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,FIRST ATTACHMENT,POINT,60.494,60.494,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,SUCCESSFUL ATTACHMENT,STATE,60.494,324.291,263.797,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_08June2025,blue,2,ACCEPTANCE,POINT,324.291,324.291,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_08June2025_B.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,LET GO,POINT,2.069,2.069,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,MOM INITIATION,POINT,6.473,6.473,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,FIRST ATTACHMENT,POINT,18.252,18.252,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,SUCCESSFUL ATTACHMENT,STATE,18.252,309.943,291.691,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_12June2025,blue,6,ACCEPTANCE,POINT,309.943,309.943,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_12June2025_X.MP4,
Single,Easton,105807_blue_M_16June2025,blue,10,LET GO,POINT,14.514,14.514,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_16June2025_J.MP4,
Single,Easton,105807_blue_M_16June2025,blue,10,PUP INITIATION,POINT,21.889,21.889,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_16June2025_J.MP4,
Single,Easton,105807_blue_M_16June2025,blue,10,UNSUCCESSFUL ATTACHMENT,POINT,26.593,26.593,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_16June2025_J.MP4,
Single,Easton,105807_blue_M_16June2025,blue,10,RESISTANCE,POINT,325.312,325.312,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_16June2025_J.MP4,
Single,Easton,105807_blue_M_20June2025,blue,14,LET GO,POINT,14.214,14.214,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_20June2025_N.MP4,
Single,Easton,105807_blue_M_20June2025,blue,14,PUP INITIATION,POINT,20.787,20.787,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_20June2025_N.MP4,
Single,Easton,105807_blue_M_20June2025,blue,14,FIRST ATTACHMENT,POINT,40.774,40.774,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_20June2025_N.MP4,
Single,Easton,105807_blue_M_20June2025,blue,14,SUCCESSFUL ATTACHMENT,STATE,40.774,332.331,291.557,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_20June2025_N.MP4,
Single,Easton,105807_blue_M_20June2025,blue,14,ACCEPTANCE,POINT,332.331,332.331,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_blue_M_20June2025_N.MP4,
Single,Easton,105807_blue_M_28June2025,blue,22,LET GO,POINT,11.144,11.144,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_28June2025_V.MP4,
Single,Easton,105807_blue_M_28June2025,blue,22,PUP INITIATION,POINT,16.783,16.783,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_28June2025_V.MP4,
Single,Easton,105807_blue_M_28June2025,blue,22,FIRST ATTACHMENT,POINT,220.087,220.087,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_28June2025_V.MP4,
Single,Easton,105807_blue_M_28June2025,blue,22,SUCCESSFUL ATTACHMENT,STATE,220.087,333.433,113.346,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_28June2025_V.MP4,
Single,Easton,105807_blue_M_28June2025,blue,22,RESISTANCE,POINT,333.433,333.433,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_blue_M_28June2025_V.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,LET GO,POINT,7.941,7.941,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,MOM INITIATION,POINT,20.22,20.22,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,GUIDANCE,STATE,22.89,68.969,46.079,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,UNSUCCESSFUL ATTACHMENT,POINT,70.47,70.47,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,GUIDANCE,STATE,72.072,102.936,30.864,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,FIRST ATTACHMENT,POINT,102.936,102.936,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,SUCCESSFUL ATTACHMENT,STATE,102.936,319.085,216.149,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,GUIDANCE,STATE,131.765,134.835,3.07,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_08June2025,nc,2,ACCEPTANCE,POINT,319.085,319.085,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_08June2025_B.MP4,
Single,Easton,105807_nc_F_12June2025,nc,6,LET GO,POINT,2.936,2.936,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_12June2025_X.MP4,baby bat was wedged between mom and container for most of video
Single,Easton,105807_nc_F_12June2025,nc,6,MOM INITIATION,POINT,11.712,11.712,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_12June2025_X.MP4,baby bat was wedged between mom and container for most of video
Single,Easton,105807_nc_F_12June2025,nc,6,ACCEPTANCE,POINT,336.203,336.203,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_12June2025_X.MP4,baby bat was wedged between mom and container for most of video
Single,Easton,105807_nc_F_16June2025,nc,10,LET GO,POINT,20.787,20.787,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_16June2025_J.MP4,
Single,Easton,105807_nc_F_16June2025,nc,10,MOM INITIATION,POINT,25.192,25.192,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_16June2025_J.MP4,
Single,Easton,105807_nc_F_16June2025,nc,10,UNSUCCESSFUL ATTACHMENT,POINT,48.115,48.115,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_16June2025_J.MP4,
Single,Easton,105807_nc_F_16June2025,nc,10,RESISTANCE,POINT,350.55,350.55,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105807_nc_F_16June2025_J.MP4,
Single,Easton,105807_nc_F_20June2025,nc,14,LET GO,POINT,17.551,17.551,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_20June2025_N.MP4.MP4,
Single,Easton,105807_nc_F_20June2025,nc,14,PUP INITIATION,POINT,24.091,24.091,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_20June2025_N.MP4.MP4,
Single,Easton,105807_nc_F_20June2025,nc,14,UNSUCCESSFUL ATTACHMENT,POINT,30.664,30.664,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_20June2025_N.MP4.MP4,
Single,Easton,105807_nc_F_20June2025,nc,14,UNSUCCESSFUL ATTACHMENT,POINT,75.943,75.943,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_20June2025_N.MP4.MP4,
Single,Easton,105807_nc_F_20June2025,nc,14,RESISTANCE,POINT,331.819,331.819,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_20June2025_N.MP4.MP4,
Single,Easton,105807_nc_F_28June2025,nc,22,LET GO,POINT,15.782,15.782,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_28June2025_V.MP4,
Single,Easton,105807_nc_F_28June2025,nc,22,PUP INITIATION,POINT,30.831,30.831,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_28June2025_V.MP4,
Single,Easton,105807_nc_F_28June2025,nc,22,UNSUCCESSFUL ATTACHMENT,POINT,36.737,36.737,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_28June2025_V.MP4,
Single,Easton,105807_nc_F_28June2025,nc,22,RESISTANCE,POINT,324.821,324.821,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105807_nc_F_28June2025_V.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,LET GO,POINT,8.208,8.208,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,PUP INITIATION,POINT,10.944,10.944,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,15.883,15.883,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,35.535,35.535,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,97.764,97.764,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,202.836,202.836,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,208.275,208.275,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,218.618,218.618,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,264.798,264.798,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,312.479,312.479,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,UNSUCCESSFUL ATTACHMENT,POINT,334.801,334.801,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_06July2025,pink,30,RESISTANCE,POINT,336.703,336.703,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_06July2025_D.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,LET GO,POINT,9.009,9.009,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,MOM INITIATION,POINT,11.345,11.345,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,GUIDANCE,STATE,12.412,36.403,23.991,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,FIRST ATTACHMENT,POINT,45.279,45.279,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,SUCCESSFUL ATTACHMENT,STATE,45.279,311.478,266.199,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,GUIDANCE,STATE,98.098,131.798,33.7,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,GUIDANCE,STATE,157.958,161.628,3.67,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_08June2025,pink,2,ACCEPTANCE,POINT,311.478,311.478,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_08June2025_B.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,LET GO,POINT,8.742,8.742,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,MOM INITIATION,POINT,13.514,13.514,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,GUIDANCE,STATE,15.282,43.677,28.395,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,FIRST ATTACHMENT,POINT,32.132,32.132,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,SUCCESSFUL ATTACHMENT,STATE,32.132,357.355,325.223,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,GUIDANCE,STATE,79.813,88.288,8.475,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_12June2025,pink,6,ACCEPTANCE,POINT,357.355,357.355,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_12June2025_X.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,LET GO,POINT,18.919,18.919,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,MOM INITIATION,POINT,19.253,19.253,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,GUIDANCE,STATE,21.855,27.527,5.672,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,SUCCESSFUL ATTACHMENT,STATE,28.395,263.263,234.868,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,FIRST ATTACHMENT,POINT,28.695,28.695,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_16June2025,pink,10,ACCEPTANCE,POINT,263.263,263.263,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_16June2025_J.MP4,
Single,Easton,105863_pink_M_20June2025,pink,14,LET GO,POINT,5.572,5.572,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_20June2025_N.MP4,hard to tell if bat was attached
Single,Easton,105863_pink_M_20June2025,pink,14,PUP INITIATION,POINT,6.306,6.306,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_20June2025_N.MP4,hard to tell if bat was attached
Single,Easton,105863_pink_M_20June2025,pink,14,FIRST ATTACHMENT,POINT,24.458,24.458,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_20June2025_N.MP4,hard to tell if bat was attached
Single,Easton,105863_pink_M_20June2025,pink,14,SUCCESSFUL ATTACHMENT,STATE,24.458,328.695,304.237,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_20June2025_N.MP4,hard to tell if bat was attached
Single,Easton,105863_pink_M_20June2025,pink,14,RESISTANCE,POINT,328.695,328.695,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_pink_M_20June2025_N.MP4,hard to tell if bat was attached
Single,Easton,105863_pink_M_28June2025,pink,22,LET GO,POINT,15.015,15.015,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,PUP INITIATION,POINT,20.42,20.42,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,SUCCESSFUL ATTACHMENT,STATE,24.825,90.991,66.166,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,FIRST ATTACHMENT,POINT,25.592,25.592,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,SUCCESSFUL ATTACHMENT,STATE,110.21,175.575,65.365,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,UNSUCCESSFUL ATTACHMENT,POINT,185.852,185.852,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,UNSUCCESSFUL ATTACHMENT,POINT,198.598,198.598,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,UNSUCCESSFUL ATTACHMENT,POINT,204.237,204.237,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,UNSUCCESSFUL ATTACHMENT,POINT,218.218,218.218,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,UNSUCCESSFUL ATTACHMENT,POINT,274.608,274.608,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,SUCCESSFUL ATTACHMENT,STATE,292.826,315.182,22.356,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_pink_M_28June2025,pink,22,RESISTANCE,POINT,320.811,320.811,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_pink_M_28June2025_V.MP4,"Very stand-out video; pup seemingly switched teets deliberately, also wrestled mom for her teet"
Single,Easton,105863_purple_F_06July2025,purple,30,LET GO,POINT,11.712,11.712,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_06July2025,purple,30,PUP INITIATION,POINT,43.31,43.31,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_06July2025,purple,30,FIRST ATTACHMENT,POINT,53.453,53.453,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_06July2025,purple,30,SUCCESSFUL ATTACHMENT,STATE,53.453,172.105,118.652,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_06July2025,purple,30,SUCCESSFUL ATTACHMENT,STATE,190.29,337.323,147.033,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_06July2025,purple,30,ACCEPTANCE,POINT,337.304,337.304,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_06July2025_D.MP4,seemingly deliberate teet switch again
Single,Easton,105863_purple_F_08June2025,purple,2,LET GO,POINT,15.148,15.148,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_08June2025,purple,2,MOM INITIATION,POINT,16.717,16.717,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_08June2025,purple,2,GUIDANCE,STATE,17.818,86.153,68.335,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_08June2025,purple,2,SUCCESSFUL ATTACHMENT,STATE,86.153,311.296,225.143,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_08June2025,purple,2,GUIDANCE,STATE,176.71,184.685,7.975,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_08June2025,purple,2,ACCEPTANCE,POINT,311.296,311.296,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 2/105863_purple_F_08June2025_B.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,LET GO,POINT,5.038,5.038,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,MOM INITIATION,POINT,5.873,5.873,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,GUIDANCE,STATE,8.542,62.529,53.987,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,FIRST ATTACHMENT,POINT,62.529,62.529,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,SUCCESSFUL ATTACHMENT,STATE,62.529,331.464,268.935,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,GUIDANCE,STATE,106.64,113.18,6.54,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
Single,Easton,105863_purple_F_12June2025,purple,6,ACCEPTANCE,POINT,331.464,331.464,NA,C:/Users/easto/OneDrive/Desktop/BORIS 3QQ3/Real Vids 1/105863_purple_F_12June2025_X.MP4,
